"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y","subscription"
"40",23,8,3,3,0,363,1,0,3,30,9,16,18,-1,0,4,"no",1
"41",38,5,3,3,0,11971,1,0,3,17,10,609,2,101,3,1,"no",1
"42",36,5,3,3,0,553,0,0,1,11,2,106,2,-1,0,4,"no",1
"43",52,2,2,2,0,1117,1,0,1,13,9,365,1,-1,0,4,"no",1
"44",32,10,2,3,0,396,1,0,1,13,9,205,3,-1,0,4,"no",1
"45",32,10,3,3,0,2204,1,0,1,21,10,11,4,-1,0,4,"no",1
"46",34,5,3,3,0,872,1,0,3,7,9,105,2,-1,0,4,"no",1
"47",55,2,2,1,0,145,0,0,2,2,4,59,3,5,2,2,"no",1
"48",26,2,2,1,0,0,1,0,3,21,9,425,1,-1,0,4,"no",1
"49",32,3,3,1,1,-849,1,1,1,4,4,204,1,-1,0,4,"no",1
"50",61,1,2,4,0,4629,1,0,1,27,5,181,1,92,1,3,"yes",2
"51",45,2,1,1,0,844,0,0,3,5,7,1018,3,-1,0,4,"yes",2
"52",37,10,3,2,0,228,1,0,1,20,2,1740,2,-1,0,4,"no",1
"53",38,10,3,2,0,50,0,0,1,29,2,98,2,-1,0,4,"no",1
"54",34,10,2,3,0,1539,1,0,1,15,7,441,1,56,1,2,"yes",2
"55",53,2,2,2,0,2231,1,0,1,14,6,272,3,-1,0,4,"no",1
"56",48,1,2,2,0,3064,1,0,2,15,6,159,2,-1,0,4,"no",1
"57",57,5,2,2,0,82,0,1,2,4,4,140,1,-1,0,4,"no",1
"58",33,7,3,3,0,2155,0,0,1,17,10,295,1,-1,0,4,"no",1
"59",36,6,3,2,0,101,1,1,3,26,9,314,1,-1,0,4,"no",1
"60",54,10,1,2,0,784,1,1,3,15,9,579,1,-1,0,4,"no",1
"61",41,2,2,1,0,-516,0,1,2,8,6,554,3,-1,0,4,"no",1
"62",63,6,2,2,0,415,1,0,1,7,11,323,1,-1,0,4,"no",1
"63",48,5,2,3,0,5887,0,0,1,13,2,227,2,-1,0,4,"no",1
"64",48,8,2,2,0,1355,0,0,1,4,6,134,2,-1,0,4,"no",1
"65",56,1,2,2,0,16873,0,0,1,7,11,223,1,-1,0,4,"no",1
"66",51,2,1,2,0,203,1,0,1,8,9,134,1,170,5,1,"no",1
"67",31,8,2,2,0,338,1,0,1,28,5,155,1,-1,0,4,"no",1
"68",29,10,2,2,0,444,1,0,1,21,6,130,4,-1,0,4,"no",1
"69",41,5,2,2,0,0,0,1,1,7,6,630,3,-1,0,4,"no",1
"70",32,10,3,3,0,360,0,0,1,19,10,164,2,-1,0,4,"no",1
"71",37,5,2,3,0,0,0,0,1,16,6,268,2,182,3,3,"yes",2
"72",42,3,1,3,1,2,1,0,3,5,9,380,1,-1,0,4,"no",1
"73",31,5,3,3,0,6248,1,0,3,9,9,154,2,-1,0,4,"no",1
"74",41,8,2,3,0,412,1,0,3,3,7,154,5,-1,0,4,"no",1
"75",56,6,2,2,0,344,1,0,3,15,9,221,1,-1,0,4,"no",1
"76",54,5,1,3,0,3222,0,0,1,14,2,67,2,-1,0,4,"no",1
"77",41,2,1,2,0,174,1,0,1,14,9,367,2,297,1,2,"no",1
"78",40,10,3,2,0,591,0,1,1,14,2,87,6,-1,0,4,"no",1
"79",50,2,1,1,0,388,0,0,1,5,4,701,1,-1,0,4,"no",1
"80",40,11,2,2,0,219,1,0,1,17,10,204,2,196,1,1,"no",1
"81",27,1,1,2,0,451,1,0,1,16,6,652,1,-1,0,4,"yes",2
"82",60,6,2,1,0,5,0,0,1,26,2,63,2,-1,0,4,"no",1
"83",28,1,3,2,0,177,1,1,1,6,9,150,1,-1,0,4,"no",1
"84",52,8,2,2,0,657,0,0,2,7,6,398,2,460,2,1,"yes",2
"85",37,5,2,3,0,1315,0,0,1,30,7,224,1,-1,0,4,"yes",2
"86",51,2,2,1,0,1466,1,0,3,7,9,406,2,-1,0,4,"no",1
"87",41,10,3,2,0,879,0,1,1,7,6,60,4,-1,0,4,"no",1
"88",35,2,3,1,0,293,1,0,3,30,9,521,2,-1,0,4,"no",1
"89",38,1,2,2,0,424,1,0,1,17,1,279,1,-1,0,4,"no",1
"90",34,2,2,2,0,1831,1,0,3,20,9,203,2,-1,0,4,"no",1
"91",39,2,2,1,0,111,0,0,1,18,10,201,2,-1,0,4,"no",1
"92",34,2,2,1,0,455,1,0,3,20,7,372,3,-1,0,4,"no",1
"93",27,8,3,2,0,-195,1,0,1,18,9,391,1,-1,0,4,"yes",2
"94",32,5,3,3,0,3616,0,0,1,14,2,165,2,-1,0,4,"no",1
"95",57,2,2,2,0,14093,0,0,1,11,2,231,5,-1,0,4,"no",1
"96",41,12,3,3,0,1567,0,0,1,1,6,291,2,-1,0,4,"no",1
"97",41,1,2,3,0,5426,1,0,3,14,9,149,2,-1,0,4,"no",1
"98",30,1,3,3,0,261,0,0,1,19,11,233,1,137,20,1,"no",1
"99",36,2,1,2,0,2843,0,0,1,12,4,473,1,182,1,3,"no",1
"100",31,11,3,1,0,406,0,0,1,4,4,736,1,-1,0,4,"yes",2
"101",36,2,2,2,0,0,1,0,3,6,9,337,1,-1,0,4,"no",1
"102",38,5,3,3,0,493,1,0,1,11,9,553,1,367,7,1,"no",1
"103",49,10,2,2,0,5996,0,0,2,21,10,345,2,-1,0,4,"no",1
"104",57,8,3,1,0,3777,1,0,2,13,9,65,2,-1,0,4,"no",1
"105",34,5,3,2,0,524,0,0,3,13,2,9,1,-1,0,4,"no",1
"106",32,5,3,3,0,574,1,0,1,14,1,259,2,145,3,1,"no",1
"107",37,2,2,2,0,427,1,1,3,9,7,371,3,-1,0,4,"no",1
"108",33,7,2,3,0,483,1,0,1,3,4,280,2,-1,0,4,"no",1
"109",56,11,2,1,0,3391,0,0,1,21,1,243,1,-1,0,4,"yes",2
"110",27,4,2,1,0,0,1,0,1,23,6,435,3,-1,0,4,"no",1
"111",21,9,3,2,0,2488,0,0,1,30,7,258,6,169,3,3,"yes",2
"112",58,5,2,3,0,1517,1,0,2,29,6,7,5,-1,0,4,"no",1
"113",32,7,2,2,0,217,1,1,1,15,6,317,5,-1,0,4,"no",1
"114",33,2,3,2,0,22,0,0,1,30,5,76,2,207,1,1,"no",1
"115",25,9,3,2,0,331,0,0,2,26,2,170,4,-1,0,4,"yes",2
"116",25,10,3,2,0,505,0,1,1,17,10,386,2,-1,0,4,"yes",2
"117",30,8,2,2,0,1808,1,0,1,18,9,83,2,-1,0,4,"no",1
"118",22,1,3,2,0,4111,0,1,1,19,2,65,1,-1,0,4,"no",1
"119",39,2,2,1,0,52,0,0,1,13,2,69,1,-1,0,4,"no",1
"120",46,5,1,3,0,25,0,0,3,17,7,564,2,-1,0,4,"no",1
"121",31,1,1,2,0,1890,1,0,1,21,6,588,1,-1,0,4,"no",1
"122",45,2,2,1,0,419,0,0,1,18,2,113,4,-1,0,4,"no",1
"123",32,10,2,2,0,2693,1,0,3,21,9,16,1,-1,0,4,"no",1
"124",36,2,2,2,0,-231,0,1,1,15,6,779,2,-1,0,4,"no",1
"125",51,5,3,3,1,-55,1,0,1,11,9,281,2,266,6,1,"no",1
"126",34,7,3,3,0,462,0,0,1,21,2,1877,3,-1,0,4,"yes",2
"127",24,11,3,2,0,119,0,0,3,15,12,51,1,-1,0,4,"no",1
"128",45,10,3,2,0,586,0,1,1,28,6,32,3,-1,0,4,"no",1
"129",32,2,3,2,0,228,0,0,2,5,4,176,1,288,3,1,"no",1
"130",77,6,1,3,0,4659,0,0,1,14,1,161,1,-1,0,4,"yes",2
"131",41,2,2,1,0,168,1,0,1,18,10,187,3,-1,0,4,"no",1
"132",37,2,2,1,0,0,1,0,3,26,9,24,1,-1,0,4,"no",1
"133",43,2,2,4,1,-715,1,0,3,30,9,67,3,-1,0,4,"no",1
"134",48,1,2,4,0,0,1,0,1,8,9,85,1,168,2,1,"no",1
"135",27,10,3,2,0,769,1,0,3,9,9,317,2,-1,0,4,"no",1
"136",33,5,3,3,0,0,0,0,1,28,2,236,10,-1,0,4,"no",1
"137",29,1,3,2,0,428,1,1,1,7,9,54,1,345,2,1,"no",1
"138",34,5,3,3,0,0,0,0,1,5,4,71,1,-1,0,4,"no",1
"139",52,5,2,3,0,-970,1,0,1,4,4,489,1,-1,0,4,"yes",2
"140",60,5,2,4,0,6313,0,0,3,19,7,39,2,-1,0,4,"no",1
"141",32,5,1,3,0,948,0,0,1,12,2,204,2,-1,0,4,"no",1
"142",32,5,3,3,0,0,1,0,1,22,6,455,2,-1,0,4,"no",1
"143",56,8,1,4,0,1877,1,0,3,30,9,86,1,-1,0,4,"no",1
"144",31,5,3,3,0,874,1,0,1,18,10,190,2,-1,0,4,"no",1
"145",42,1,2,2,0,323,1,1,3,8,9,280,2,-1,0,4,"no",1
"146",35,5,2,3,0,106,0,1,1,11,2,588,2,-1,0,4,"no",1
"147",56,6,2,1,0,1906,0,1,3,19,7,45,9,-1,0,4,"no",1
"148",48,10,2,2,0,1152,1,0,1,21,6,168,5,-1,0,4,"no",1
"149",46,1,2,2,0,179,1,0,1,29,5,194,4,436,1,2,"no",1
"150",37,10,3,4,0,391,1,0,3,8,9,103,3,-1,0,4,"no",1
"151",41,3,2,4,0,89,1,0,3,6,9,333,2,-1,0,4,"no",1
"152",36,5,3,3,0,442,1,1,1,29,6,102,3,-1,0,4,"no",1
"153",45,11,1,1,1,-249,1,1,3,1,6,92,1,-1,0,4,"no",1
"154",55,3,2,2,0,8104,0,0,1,6,4,213,2,-1,0,4,"no",1
"155",39,10,2,2,0,501,0,0,3,26,9,289,1,-1,0,4,"no",1
"156",35,10,1,2,0,308,0,0,1,22,2,77,2,-1,0,4,"no",1
"157",55,1,2,2,0,602,0,0,1,1,7,324,3,90,2,3,"yes",2
"158",55,10,2,2,0,273,1,0,1,29,5,84,3,183,3,1,"no",1
"159",27,7,3,2,0,50,0,0,1,29,5,168,1,-1,0,4,"no",1
"160",34,10,2,2,0,1641,1,0,1,17,1,380,1,-1,0,4,"no",1
"161",34,2,2,3,0,20,0,0,3,4,11,10,1,-1,0,4,"no",1
"162",25,1,3,2,0,4590,1,0,3,28,9,199,2,-1,0,4,"no",1
"163",41,1,3,2,0,-256,0,1,3,9,9,35,3,-1,0,4,"no",1
"164",43,8,2,2,0,978,1,1,3,26,9,82,2,-1,0,4,"no",1
"165",28,5,3,3,0,80,0,0,1,20,11,676,2,146,2,1,"yes",2
"166",31,1,3,2,0,2104,1,0,3,3,7,455,1,-1,0,4,"no",1
"167",78,4,2,2,0,499,0,0,2,16,8,80,4,-1,0,4,"no",1
"168",45,2,1,2,0,1269,1,0,1,29,5,549,2,-1,0,4,"no",1
"169",48,10,2,3,0,310,0,0,3,6,9,135,1,-1,0,4,"no",1
"170",32,2,3,2,0,1143,1,1,1,10,6,412,1,-1,0,4,"no",1
"171",42,10,2,2,0,2980,0,0,3,20,7,101,3,-1,0,4,"no",1
"172",37,5,3,3,0,37,0,0,1,28,5,253,2,-1,0,4,"no",1
"173",40,1,3,2,0,462,1,1,1,6,1,272,1,335,4,2,"no",1
"174",32,1,2,2,0,1031,1,0,1,17,6,84,1,-1,0,4,"no",1
"175",42,5,2,3,0,9009,0,0,1,20,10,135,2,-1,0,4,"no",1
"176",43,1,2,2,0,-465,1,1,1,23,6,166,1,-1,0,4,"no",1
"177",44,1,2,2,0,5181,1,1,1,31,6,18,7,-1,0,4,"no",1
"178",37,1,2,2,0,176,1,0,1,5,9,147,2,347,1,1,"no",1
"179",37,12,2,4,0,1699,0,0,3,9,7,63,1,-1,0,4,"no",1
"180",37,1,2,3,0,0,1,0,1,17,10,65,2,119,1,1,"no",1
"181",28,10,3,3,0,172,1,1,1,2,4,194,2,-1,0,4,"no",1
"182",32,8,3,2,0,0,0,1,1,11,6,333,2,-1,0,4,"no",1
"183",34,1,3,2,0,6979,1,0,1,15,9,14,5,-1,0,4,"no",1
"184",40,1,1,2,0,6,0,0,3,11,7,140,1,-1,0,4,"no",1
"185",34,8,2,2,0,-62,1,0,3,16,7,109,3,-1,0,4,"no",1
"186",34,7,2,3,0,1972,1,0,1,23,6,61,2,-1,0,4,"no",1
"187",34,1,2,3,0,899,1,0,2,19,10,377,3,7,4,3,"no",1
"188",37,8,3,2,0,21,1,0,1,2,4,96,1,271,2,2,"no",1
"189",36,10,2,2,0,23,1,0,1,8,9,152,2,347,1,1,"no",1
"190",56,6,2,2,0,-1206,1,0,1,15,7,382,2,-1,0,4,"yes",2
"191",49,2,2,1,0,0,1,1,2,23,6,97,6,-1,0,4,"no",1
"192",33,7,2,2,0,215,1,0,1,29,6,543,12,-1,0,4,"no",1
"193",30,5,3,3,0,1372,0,0,1,20,10,240,2,-1,0,4,"no",1
"194",36,8,2,2,0,1981,0,0,3,17,7,48,2,-1,0,4,"no",1
"195",23,9,3,2,0,9216,0,0,1,5,7,471,2,-1,0,4,"no",1
"196",57,6,1,2,0,39,1,0,1,30,6,354,3,-1,0,4,"no",1
"197",27,2,3,2,0,5563,1,0,3,30,9,435,2,-1,0,4,"no",1
"198",38,8,2,2,0,1,0,1,1,21,10,152,2,-1,0,4,"no",1
"199",42,10,2,3,0,782,0,0,1,3,1,285,1,-1,0,4,"no",1
"200",75,6,2,2,0,3771,0,0,2,15,1,185,1,181,2,3,"yes",2
"201",34,10,3,3,0,992,1,0,1,4,9,301,1,88,2,3,"no",1
"202",48,10,2,2,0,1526,0,0,1,6,2,273,2,-1,0,4,"no",1
"203",35,10,3,3,0,2658,1,0,1,19,2,768,2,141,3,1,"yes",2
"204",39,5,1,3,0,1315,1,0,1,19,10,1337,4,126,1,1,"no",1
"205",29,2,3,3,0,455,0,0,2,21,1,403,1,-1,0,4,"yes",2
"206",45,10,3,3,0,0,1,0,1,18,10,139,2,-1,0,4,"no",1
"207",42,10,2,2,0,2030,1,1,1,9,6,196,1,-1,0,4,"no",1
"208",29,10,2,2,0,1599,1,0,1,8,6,115,1,61,1,1,"no",1
"209",38,8,3,2,0,-196,1,0,1,2,4,60,1,271,1,1,"no",1
"210",56,6,2,2,0,1333,0,0,1,28,2,17,14,-1,0,4,"no",1
"211",36,10,3,2,0,9149,1,0,1,13,2,141,3,-1,0,4,"no",1
"212",25,2,3,2,0,-350,1,0,3,23,7,95,3,-1,0,4,"no",1
"213",38,10,2,3,0,432,1,0,1,15,9,10,2,373,1,2,"no",1
"214",57,7,2,2,0,11494,0,0,1,19,10,198,1,-1,0,4,"no",1
"215",31,5,2,3,1,-253,0,0,1,12,2,220,4,-1,0,4,"no",1
"216",42,5,2,3,0,372,1,0,1,3,2,654,2,-1,0,4,"yes",2
"217",45,10,2,2,0,1410,0,0,1,11,2,71,2,-1,0,4,"no",1
"218",30,2,2,2,0,975,1,0,1,13,9,256,2,351,2,1,"no",1
"219",49,2,2,1,0,305,1,1,2,10,6,834,10,-1,0,4,"no",1
"220",49,8,2,2,0,400,0,0,1,21,2,151,3,-1,0,4,"no",1
"221",53,6,2,3,0,-22,1,0,1,31,6,20,3,-1,0,4,"no",1
"222",37,10,2,2,0,4030,1,0,3,26,9,178,5,-1,0,4,"no",1
"223",49,2,2,1,0,365,0,0,3,26,9,59,2,-1,0,4,"no",1
"224",41,7,2,1,0,204,0,0,1,13,2,111,7,-1,0,4,"no",1
"225",54,5,2,1,0,1691,1,0,1,20,10,186,1,-1,0,4,"no",1
"226",32,8,3,2,0,406,1,0,3,6,9,227,1,-1,0,4,"no",1
"227",33,10,2,2,0,-204,0,0,1,15,9,297,3,-1,0,4,"no",1
"228",33,10,2,2,0,359,1,0,1,20,1,210,1,242,1,2,"no",1
"229",36,2,2,1,0,123,1,0,1,18,9,9,1,-1,0,4,"no",1
"230",35,10,2,3,0,0,1,1,1,23,12,112,1,62,6,2,"no",1
"231",52,12,2,2,0,142,0,0,1,25,2,112,6,-1,0,4,"no",1
"232",40,3,2,3,0,3571,0,0,3,9,7,222,3,-1,0,4,"no",1
"233",44,10,3,2,0,33,1,0,1,13,9,195,3,351,10,1,"no",1
"234",45,2,3,2,0,0,1,0,1,26,6,768,2,91,5,3,"no",1
"235",30,9,3,2,0,3096,0,0,1,26,5,123,1,-1,0,4,"no",1
"236",48,10,1,2,1,20,0,0,1,27,2,145,3,-1,0,4,"no",1
"237",33,2,2,2,0,3576,1,0,1,2,1,124,1,308,2,2,"no",1
"238",57,10,2,4,0,206,1,0,3,5,9,216,3,-1,0,4,"no",1
"239",57,4,2,1,0,7082,0,0,3,6,7,69,3,-1,0,4,"no",1
"240",51,11,2,3,0,1634,1,0,1,22,6,168,4,-1,0,4,"no",1
"241",34,1,3,2,0,1,1,0,1,22,6,483,7,-1,0,4,"no",1
"242",50,7,2,3,0,4012,0,0,1,19,10,690,3,-1,0,4,"no",1
"243",44,5,2,3,0,3762,0,0,1,28,2,125,12,-1,0,4,"no",1
"244",27,1,2,2,0,-247,1,1,3,4,7,344,2,-1,0,4,"no",1
"245",50,2,2,2,0,606,1,0,3,14,9,673,2,-1,0,4,"no",1
"246",36,5,2,3,0,0,1,0,1,28,5,60,1,250,1,2,"no",1
"247",42,5,2,2,0,-189,1,0,3,12,9,247,2,-1,0,4,"no",1
"248",32,11,3,2,0,0,0,0,1,27,9,123,2,-1,0,4,"no",1
"249",42,5,2,3,0,484,1,0,1,11,6,144,2,-1,0,4,"no",1
"250",43,10,2,2,0,0,0,1,1,8,9,9,2,172,5,1,"no",1
"251",31,5,2,3,0,395,1,0,1,9,4,155,3,-1,0,4,"no",1
"252",32,5,2,3,0,2349,0,0,1,14,2,134,5,-1,0,4,"no",1
"253",55,2,1,1,0,410,0,1,1,11,6,221,2,-1,0,4,"no",1
"254",58,6,2,1,0,3401,1,0,1,3,4,84,3,265,2,1,"no",1
"255",46,2,2,1,0,222,0,0,1,8,2,71,2,-1,0,4,"no",1
"256",55,2,2,2,0,989,1,1,3,23,9,246,4,-1,0,4,"no",1
"257",34,5,2,3,0,415,0,1,1,23,6,361,2,-1,0,4,"no",1
"258",28,11,3,2,0,16,0,0,1,12,2,119,4,-1,0,4,"no",1
"259",42,10,1,3,0,7190,1,0,1,29,6,375,2,-1,0,4,"no",1
"260",29,2,3,2,0,482,0,1,1,10,6,1097,3,-1,0,4,"yes",2
"261",54,4,2,2,0,209,1,1,1,25,6,97,1,-1,0,4,"no",1
"262",32,10,3,2,0,0,0,0,1,26,2,181,2,-1,0,4,"no",1
"263",39,10,3,3,0,5803,0,0,1,2,4,83,3,-1,0,4,"no",1
"264",53,3,2,3,0,624,0,1,1,21,6,180,4,-1,0,4,"no",1
"265",58,10,2,3,0,883,0,0,1,18,2,543,1,78,2,1,"no",1
"266",40,7,2,2,0,1516,1,1,3,23,9,373,1,-1,0,4,"no",1
"267",29,9,3,2,0,872,1,0,3,7,9,230,1,-1,0,4,"no",1
"268",33,10,2,3,0,-988,1,1,1,15,6,83,3,-1,0,4,"no",1
"269",38,1,3,2,0,902,1,0,2,31,6,58,13,-1,0,4,"no",1
"270",56,8,1,2,0,1007,0,0,1,29,6,88,6,-1,0,4,"no",1
"271",40,8,2,2,0,0,1,0,1,2,7,297,1,28,3,1,"no",1
"272",24,2,3,2,0,174,1,1,1,18,9,487,1,-1,0,4,"yes",2
"273",46,5,2,2,0,12186,0,0,3,20,7,29,3,-1,0,4,"no",1
"274",35,7,2,2,0,524,1,0,1,21,10,484,4,-1,0,4,"no",1
"275",35,2,3,3,0,0,1,0,1,21,6,262,4,-1,0,4,"no",1
"276",34,10,2,2,0,4,1,0,3,15,9,644,1,-1,0,4,"no",1
"277",35,4,2,3,0,11219,0,0,1,12,2,699,2,79,1,1,"no",1
"278",38,10,3,3,0,0,0,0,1,28,2,247,2,-1,0,4,"no",1
"279",50,2,2,1,0,5776,0,0,1,18,10,49,3,-1,0,4,"no",1
"280",51,2,1,1,0,37,1,0,1,13,9,341,1,-1,0,4,"no",1
"281",59,7,2,3,0,593,0,0,3,13,9,64,2,-1,0,4,"no",1
"282",32,2,2,2,0,1148,1,0,1,20,1,121,1,-1,0,4,"no",1
"283",37,2,3,2,0,3561,1,0,3,2,7,98,1,-1,0,4,"no",1
"284",42,1,1,2,0,63,0,0,3,16,9,88,6,-1,0,4,"no",1
"285",40,9,2,2,0,260,0,0,3,20,7,197,6,-1,0,4,"no",1
"286",28,10,3,3,0,2269,1,0,3,9,9,331,1,-1,0,4,"no",1
"287",47,1,2,2,0,1060,1,0,3,6,7,83,3,-1,0,4,"no",1
"288",27,7,2,2,0,-220,1,0,3,26,9,138,2,-1,0,4,"no",1
"289",41,5,2,3,0,49,1,0,1,17,6,312,5,-1,0,4,"no",1
"290",34,1,2,3,0,69,0,1,1,4,2,120,3,1,6,3,"yes",2
"291",50,2,2,1,0,4108,1,0,1,7,2,526,2,-1,0,4,"yes",2
"292",47,2,2,2,0,480,1,0,3,28,9,211,2,-1,0,4,"no",1
"293",53,8,2,2,0,4994,0,0,1,18,2,62,6,-1,0,4,"no",1
"294",53,10,1,2,0,0,1,1,1,15,6,135,5,-1,0,4,"no",1
"295",47,5,2,3,0,3681,0,0,1,14,2,101,2,-1,0,4,"no",1
"296",49,3,1,4,1,-701,1,0,1,30,6,988,2,-1,0,4,"yes",2
"297",29,5,2,3,0,451,0,0,1,28,5,451,1,-1,0,4,"no",1
"298",45,2,1,1,0,-311,1,0,3,23,9,1030,1,-1,0,4,"yes",2
"299",38,3,2,2,0,593,1,1,1,24,6,1484,24,-1,0,4,"yes",2
"300",32,2,2,2,0,759,1,0,1,9,1,317,5,-1,0,4,"yes",2
"301",70,6,1,1,0,4531,0,0,1,18,9,445,1,-1,0,4,"no",1
"302",65,6,1,1,0,1840,0,0,1,1,7,383,2,188,5,1,"no",1
"303",56,2,2,2,0,345,1,0,2,22,6,605,1,-1,0,4,"no",1
"304",35,2,2,2,0,1287,1,0,1,14,6,330,2,-1,0,4,"no",1
"305",56,5,2,4,0,353,0,1,1,25,6,171,2,-1,0,4,"no",1
"306",56,10,2,2,0,205,0,1,1,23,6,442,2,-1,0,4,"no",1
"307",49,3,2,2,0,687,1,0,1,17,1,772,1,-1,0,4,"yes",2
"308",38,11,2,1,0,1147,1,1,3,8,9,249,5,-1,0,4,"no",1
"309",35,5,2,3,0,4286,1,0,3,9,9,357,1,-1,0,4,"no",1
"310",38,1,2,3,0,605,0,0,1,18,10,147,2,-1,0,4,"no",1
"311",49,2,2,2,0,8545,1,1,1,6,9,199,7,167,1,1,"no",1
"312",55,5,2,4,0,559,0,0,1,28,5,271,2,-1,0,4,"no",1
"313",43,2,3,1,0,2,1,0,1,30,6,783,3,-1,0,4,"no",1
"314",43,5,2,3,0,2,0,1,1,20,2,472,2,-1,0,4,"no",1
"315",25,1,3,3,0,760,1,0,1,27,9,223,3,89,2,1,"yes",2
"316",30,2,2,1,0,1317,1,0,3,21,9,395,2,-1,0,4,"no",1
"317",46,2,2,2,0,182,0,0,1,4,4,56,1,-1,0,4,"no",1
"318",50,1,2,1,0,276,0,1,3,17,7,641,6,-1,0,4,"no",1
"319",35,3,2,2,0,2971,0,0,1,4,9,429,4,164,2,1,"yes",2
"320",26,11,3,2,0,1064,0,0,3,31,9,113,1,-1,0,4,"no",1
"321",45,1,2,4,0,1783,0,0,3,20,7,11,11,-1,0,4,"no",1
"322",37,2,2,2,0,-67,0,0,1,2,4,157,1,-1,0,4,"no",1
"323",60,7,3,3,0,179,0,1,1,29,6,79,4,-1,0,4,"no",1
"324",38,5,2,3,0,1199,0,0,1,4,2,178,1,1,1,3,"yes",2
"325",47,2,2,1,0,214,1,1,3,9,7,168,1,-1,0,4,"no",1
"326",33,10,2,2,0,6699,0,0,1,9,10,425,1,462,1,1,"no",1
"327",51,11,2,2,0,1760,0,1,1,19,10,162,1,-1,0,4,"no",1
"328",35,3,3,3,0,145,1,0,1,18,6,799,2,-1,0,4,"yes",2
"329",35,11,2,2,0,978,0,0,1,29,3,1370,3,209,3,3,"yes",2
"330",48,1,3,2,0,1150,1,0,3,28,9,357,1,-1,0,4,"no",1
"331",37,1,2,2,0,121,0,0,1,22,6,22,6,-1,0,4,"no",1
"332",29,10,3,3,0,828,1,0,1,16,1,215,3,321,3,2,"no",1
"333",34,1,2,2,0,244,1,0,1,31,6,56,4,-1,0,4,"no",1
"334",32,8,2,1,0,228,1,0,1,21,6,1017,6,-1,0,4,"yes",2
"335",30,5,3,3,0,424,0,0,1,16,1,298,4,-1,0,4,"yes",2
